date,CG-OPEN,CG-CLOSE,CON-OPEN,CON-CLOSE
11/3/2014,934754,940331,12289,22152
11/4/2014,940331,945929,22573,32107
11/5/2014,945929,951274,32537,42098
11/6/2014,951274,955994,42592,50788
11/7/2014,955994,959078,51452,56624
11/8/2014,959078,959943,56624,58698
11/9/2014,959943,961418,58698,62274
11/10/2014,961418,967153,62770,72836
11/11/2014,967153,972937,73481,83444
11/12/2014,972937,978330,83827,92942
11/13/2014,978330,983299,93305,102152
11/14/2014,983299,986744,102450,108283
11/15/2014,986744,987916,108283,110486
11/16/2014,987916,989912,110486,113810
11/17/2014,989912,994700,114168,124198
11/18/2014,994700,1000435,124618,134850
11/19/2014,1000435,1006508,135228,146238
11/20/2014,1006508,1011519,146627,155868
11/21/2014,1011519,1014940,156159,162282
11/22/2014,1014940,1016041,162282,164796
11/23/2014,1016041,1017899,164796,169288
11/24/2014,1017899,1023718,169721,180466
11/25/2014,1023718,1027943,181168,188270
11/26/2014,1027943,1028344,188270,189170
11/27/2014,,,,
11/28/2014,,,,
11/29/2014,1028344,1028647,189170,189808
11/30/2014,1028364,1029989,189808,192576
12/1/2014,29989,35837,192576,203398
12/2/2014,35837,40056,203845,213344
12/3/2014,40056,44474,214282,224082
12/4/2014,44474,48251,224944,232926
12/5/2014,48251,50873,233437,238732
12/6/2014,50873,52026,238732,241980
12/7/2014,52026,53578,241980,246126
12/8/2014,53578,57205,246715,253610
12/9/2014,57205,59189,253884,257714
12/10/2014,59189,60099,257796,259940
12/11/2014,60099,60769,259940,261394
12/12/2014,60769,61337,261394,262560
12/13/2014,,,,
12/14/2014,,,,
12/15/2014,61337,61832,262560,263446
12/16/2014,61832,62310,263446,264352
12/17/2014,62310,62749,264352,265282
12/18/2014,62749,63206,265282,266149
12/19/2014,63206,63630,266149,266984
12/20/2014,,,,
12/21/2014,,,,
12/22/2014,63630,63908,266984,267651
12/23/2014,63908,64128,267651,268229
12/24/2014,,,,
12/25/2014,,,,
12/26/2014,,,,
12/27/2014,,,,
12/28/2014,,,,
12/29/2014,,,,
12/30/2014,,,,
12/31/2014,,,,
1/1/2015,,,,
1/2/2015,64128,64448,268229,268824
1/3/2015,,,,
1/4/2015,,,,
1/5/2015,64448,65017,268824,270034
1/6/2015,65017,65517,270034,271154
1/7/2015,65517,66161,271154,272498
1/8/2015,66161,66750,272498,274240
1/9/2015,66750,67480,274240,275904
1/10/2015,67480,67873,275904,276656
1/11/2015,67873,68689,276656,278560
